기간,국가명,수출건수,수출금액,수입건수,수입금액,무역수지
2000.01,미국,"43,994","2,633,770","52,999","2,217,025","416,745"
2000.01,일본,"36,557","1,617,277","63,151","2,357,231","-739,954"
2000.01,중국,"28,795","1,293,695","31,458","1,008,166","285,529"
2000.01,홍콩,"20,657","798,765","5,704","110,604","688,160"
2000.01,대만,"8,618","604,304","11,021","329,643","274,661"
2000.01,영국,"6,666","451,356","4,914","176,783","274,573"
2000.01,싱가포르,"7,563","438,008","6,902","318,807","119,201"
2000.01,독일,"6,861","397,208","13,330","380,841","16,368"
2000.01,말레이시아,"5,168","312,109","4,578","486,990","-174,881"
2000.01,필리핀,"5,236","273,168","2,622","154,428","118,741"
2000.01,인도네시아,"7,181","223,274","2,674","561,264","-337,990"
2000.01,호주,"5,906","210,263","2,567","418,330","-208,068"
2000.01,파나마,540,"206,588",10,"3,472","203,116"
2000.01,이탈리아,"3,058","203,741","5,971","118,413","85,328"
2000.01,네덜란드,"3,559","185,333","2,014","85,637","99,696"
2000.01,바하마,33,"166,940",1,23,"166,917"
2000.01,멕시코,"3,589","160,130",489,"52,682","107,448"
2000.01,태국,"5,797","158,279","3,019","104,524","53,755"
2000.01,스페인,"2,958","148,163","1,058","18,571","129,592"
2000.01,아랍에미리트 연합,"4,560","147,287",202,"276,246","-128,959"
2000.01,브라질,"1,759","138,711",442,"82,492","56,219"
2000.01,캐나다,"4,975","137,225","2,217","166,710","-29,485"
2000.01,프랑스,"3,541","135,164","4,555","184,264","-49,101"
2000.01,인도,"3,098","128,029","1,648","74,035","53,993"
2000.01,이란,527,"125,099",103,"302,377","-177,278"
2000.01,베트남,"5,284","113,258","1,181","27,847","85,411"
2000.01,그리스,705,"102,737",51,"1,715","101,022"
2000.01,라이베리아,7,"101,299",3,"1,058","100,242"
2000.01,사우디아라비아,"1,760","94,667",215,"834,623","-739,956"
2000.01,덴마크,739,"93,656","1,120","29,003","64,654"
2000.01,터키,"1,329","79,626",92,"2,628","76,998"
2000.01,벨기에,"1,391","79,120","1,057","43,670","35,449"
2000.01,폴란드,"1,071","52,287",71,"4,904","47,383"
2000.01,이스라엘,"1,311","50,653",548,"39,642","11,011"
2000.01,러시아 연방,"1,325","47,885",757,"110,231","-62,347"
2000.01,핀란드,763,"47,552",590,"22,595","24,958"
2000.01,남아프리카공화국,"1,921","46,778",494,"71,678","-24,899"
2000.01,카타르,137,"46,092",19,"130,139","-84,047"
