"","word","spaced_word"
"1","가입심사","가입 심사"
"2","받는사람중에우리학교사람","받는 사람 중에 우리 학교 사람"
"3","민망하군마주치지","민망하군 마주치지"
"4","싸웟는데","싸웟는 데"
"5","판단해줄사람있","판단해줄 사람 있"
"6","징징대는듯한","징징대는 듯한"
"7","재밌어서","재밌어서"
"8","만드는거","만드는 거"
"9","같음연애로","같음 연애로"
"10","외로울거라는건","외로울 거라는 건"
"11","웹툰이나","웹툰이나"
"12","판타지적","판타지적"
"13","베프같은","베프 같은"
"14","만나는거처럼","만나는 거처럼"
"15","스킨십이나","스킨십이나"
"16","외로움들","외로움들"
"17","연애해서","연애해서"
"18","포항간다아빠가","포항간다 아빠가"
"19","기도한번","기도 한 번"
"20","하셨다하나님","하셨다 하나님"
"21","사랑하심","사랑하심"
"22","초등학교","초등학교"
"23","안좋은일","안 좋은 일"
"24","끅끅대면서","끅끅대면서"
"25","완전많이","완전 많이"
"26","그사람그사람은","그 사람 그 사람은"
"27","한명이다그사람은","한 명이 다 그 사람은"
"28","당한다면서","당한다면서"
"29","자격지심","자격지심"
"30","피해의식","피해의식"
"31","그사람이","그 사람이"
"32","잘못됬다는","잘못 됬다는"
"33","학교폭력","학교폭력"
"34","사과한마디","사과 한 마디"
"35","의도치않게","의도치 않게"
"36","왕따시키고","왕따시키고"
"37","것이다그사람때문에","것이 다 그 사람 때문에"
"38","초등학생","초등학생"
"39","자살시도","자살 시도"
"40","높은곳에서","높은 곳에서"
"41","커터칼로","커터칼로"
"42","했다동생과","했다 동생과"
"43","먹었다물론","먹었다 물론"
"44","그사람도","그 사람도"
"45","않았다어제","않았다 어제"
"46","안좋다고","안 좋다고"
"47","인격모독","인격 모독"
"48","하고있었다그렇게","하고 있었다 그렇게"
"49","인격모독","인격 모독"
"50","나갈려고","나갈려고"
"51","때문이다울으면","때문이 다 울으면"
"52","문닫으면","문 닫으면"
"53","지랄한다동생이","지랄한 다 동생이"
"54","에어프라이","에어프라이"
"55","오래썼다고","오래 썼다고"
"56","그사람이","그 사람이"
